Aresta_n v_origem Loc_v_origem_x Loc_v_origem_y v_destino Loc_v_destino_x Loc_v_destino_y Dist�ncia_km Velocidade_km_h
1 1 2.2 4.3 2 5.1 3.2 3.1 40
2 2 5.1 3.2 3 7.4 4.4 2.6 35
3 3 7.4 4.4 1 2.2 4.3 5.2 38
4 1 2.2 4.3 4 6.5 6.2 4.7 40
5 1 2.2 4.3 5 3.5 5.0 1.5 40
6 5 3.5 6.0 2 5.1 3.2 2.4 40
7 2 5.1 3.2 4 6.5 6.2 3.3 40
8 4 6.5 6.2 6 8.4 3.9 3.0 40
9 2 5.1 3.2 6 8.4 3.9 3.4 40
10 6 8.4 3.9 3 7.4 4.4 3.4 40
11 7 10.4 3.9 2 5.1 3.2 1.1 60
12 7 10.4 3.9 8 15.4 5.9 1.1 60
13 8 15.4 5.9 13 9.4 5.4 1.1 60
14 9 7.4 1.9 7 10.4 3.9 1.1 60
15 2 5.1 3.2 9 7.4 1.9 2.6 35
16 13 9.4 5.4 6 8.4 3.9 1.1 60
17 13 9.4 5.4 7 10.4 3.9 1.1 60
18 4 6.5 6.2 13 9.4 5.4 3.0 40
